Year10y,CAgeF5y,CAgeM5y,SibStrF,SibStrM,NofMar,Pop_atRiskF,Pop_atRiskM
1980-1989,15-19,15-19,Only child,Only child,1,8306.5,8696.5
1980-1989,15-19,15-19,Only child,Eldest son w/o brothers,0,8307,40052
1980-1989,15-19,15-19,Only child,Eldest son w/ brothers,1,8306.5,31115.5
1980-1989,15-19,15-19,Only child,Younger son,3,8305.5,34005.5
1980-1989,15-19,15-19,Eldest daughter w/o brothers,Only child,0,18581,8697
1980-1989,15-19,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,2,18580,40051
1980-1989,15-19,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,4,18579,31114
1980-1989,15-19,15-19,Eldest daughter w/o brothers,Younger son,2,18580,34006
1980-1989,15-19,15-19,Younger daughter w/o brothers,Only child,0,20521,8697
1980-1989,15-19,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,4,20519,40050
1980-1989,15-19,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,3,20519.5,31114.5
1980-1989,15-19,15-19,Younger daughter w/o brothers,Younger son,7,20517.5,34003.5
1980-1989,15-19,15-19,Daughter w/ brothers,Only child,6,67695,8694
1980-1989,15-19,15-19,Daughter w/ brothers,Eldest son w/o brothers,16,67690,40044
1980-1989,15-19,15-19,Daughter w/ brothers,Eldest son w/ brothers,17,67689.5,31107.5
1980-1989,15-19,15-19,Daughter w/ brothers,Younger son,25,67685.5,33994.5
1980-1989,15-19,20-24,Only child,Only child,0,8307,7406
1980-1989,15-19,20-24,Only child,Eldest son w/o brothers,5,8304.5,33752.5
1980-1989,15-19,20-24,Only child,Eldest son w/ brothers,4,8305,26000
1980-1989,15-19,20-24,Only child,Younger son,6,8304,30496
1980-1989,15-19,20-24,Eldest daughter w/o brothers,Only child,3,18579.5,7404.5
1980-1989,15-19,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,12,18575,33749
1980-1989,15-19,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,12,18575,25996
1980-1989,15-19,20-24,Eldest daughter w/o brothers,Younger son,13,18574.5,30492.5
1980-1989,15-19,20-24,Younger daughter w/o brothers,Only child,2,20520,7405
1980-1989,15-19,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,5,20518.5,33752.5
1980-1989,15-19,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,7,20517.5,25998.5
1980-1989,15-19,20-24,Younger daughter w/o brothers,Younger son,18,20512,30490
1980-1989,15-19,20-24,Daughter w/ brothers,Only child,13,67691.5,7399.5
1980-1989,15-19,20-24,Daughter w/ brothers,Eldest son w/o brothers,39,67678.5,33735.5
1980-1989,15-19,20-24,Daughter w/ brothers,Eldest son w/ brothers,40,67678,25982
1980-1989,15-19,20-24,Daughter w/ brothers,Younger son,61,67667.5,30468.5
1980-1989,15-19,25-29,Only child,Only child,0,8307,3929
1980-1989,15-19,25-29,Only child,Eldest son w/o brothers,2,8306,19082
1980-1989,15-19,25-29,Only child,Eldest son w/ brothers,1,8306.5,14923.5
1980-1989,15-19,25-29,Only child,Younger son,2,8306,20943
1980-1989,15-19,25-29,Eldest daughter w/o brothers,Only child,0,18581,3929
1980-1989,15-19,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,5,18578.5,19080.5
1980-1989,15-19,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,4,18579,14922
1980-1989,15-19,25-29,Eldest daughter w/o brothers,Younger son,3,18579.5,20942.5
1980-1989,15-19,25-29,Younger daughter w/o brothers,Only child,2,20520,3928
1980-1989,15-19,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,6,20518,19080
1980-1989,15-19,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,6,20518,14921
1980-1989,15-19,25-29,Younger daughter w/o brothers,Younger son,5,20518.5,20941.5
1980-1989,15-19,25-29,Daughter w/ brothers,Only child,4,67696,3927
1980-1989,15-19,25-29,Daughter w/ brothers,Eldest son w/o brothers,11,67692.5,19077.5
1980-1989,15-19,25-29,Daughter w/ brothers,Eldest son w/ brothers,13,67691.5,14917.5
1980-1989,15-19,25-29,Daughter w/ brothers,Younger son,26,67685,20931
1980-1989,15-19,30-34,Only child,Only child,0,8307,1059
1980-1989,15-19,30-34,Only child,Eldest son w/o brothers,0,8307,5526
